illegal_traces,trigger_time,flick_speed,dataset_type
981,174,190.9883,Both_Cheating
2,0,1538.717,Both_Cheating
79,80,652.2432,Both_Cheating
0,0,356.7518,Both_Cheating
141,0,1185.569,Both_Cheating
73,38,360.3553,Both_Cheating
44,9,378.3731,Both_Cheating
123,109,436.03,Both_Cheating
245,0,291.8878,Both_Cheating
47,0,270.2665,Both_Cheating
141,127,353.1483,Both_Cheating
315,47,317.1127,Both_Cheating
0,0,93.6924,Both_Cheating
136,0,317.1127,Both_Cheating
50,55,432.4265,Both_Cheating
221,0,378.3731,Both_Cheating
317,92,299.095,Both_Cheating
74,0,360.3553,Both_Cheating
155,0,367.5625,Both_Cheating
119,61,421.6158,Both_Cheating
242,685,309.9056,Both_Cheating
0,0,18.01777,Both_Cheating
292,5,389.1838,Both_Cheating
195,146,882.8706,Both_Cheating
392,62,1437.818,Both_Cheating
10,42,1686.463,Both_Cheating
159,180,413.2522,Both_Cheating
152,93,1131.516,Both_Cheating
64,57,330.8103,Both_Cheating
62,0,392.7874,Both_Cheating
4,77,353.1483,Both_Cheating
315,57,1358.54,Both_Cheating
2578,210,198.1954,Client_Cheating
93,76,281.0772,Client_Cheating
837,50,270.2665,Client_Cheating
573,698,230.6274,Client_Cheating
450,287,284.1722,Client_Cheating
255,63,241.4381,Client_Cheating
1,548,270.2665,Client_Cheating
1238,229,237.8345,Client_Cheating
266,159,356.7518,Client_Cheating
718,94,219.8168,Client_Cheating
837,200,295.4914,Client_Cheating
0,0,219.8168,Host_Cheating
10,0,345.9412,Host_Cheating
26,45,317.1127,Host_Cheating
84,2,399.9944,Host_Cheating
36,6,389.1838,Host_Cheating
62,128,392.7874,Host_Cheating
2,0,374.7696,Host_Cheating
18,11,378.3731,Host_Cheating
0,0,165.7635,Host_Cheating
0,0,392.7874,Host_Cheating
2,0,353.1483,Host_Cheating
0,0,335.1305,Host_Cheating
214,35,345.115,No_Cheating
85,45,320.7163,No_Cheating
404,134,299.0949,No_Cheating
94,116,245.0416,No_Cheating
226,29,248.6452,No_Cheating
38,180,342.3376,No_Cheating
48,101,248.6452,No_Cheating
256,882,245.0416,No_Cheating
45,13,266.663,No_Cheating
38,72,230.6274,No_Cheating
31,104,234.231,No_Cheating
0,5,241.4381,No_Cheating
206,585,749.5392,No_Cheating
428,46,432.4264,No_Cheating
359,335,281.0772,No_Cheating
18,37,284.6807,No_Cheating
457,330,252.2487,No_Cheating
145,495,252.2487,No_Cheating
0,208,259.4559,No_Cheating
123,565,299.0949,No_Cheating
101,217,356.7518,No_Cheating
18,546,291.8878,No_Cheating
218,67,284.6807,No_Cheating
16,116,295.4914,No_Cheating
0,66,266.663,No_Cheating
35,581,508.101,No_Cheating
41,666,169.367,No_Cheating
42,127,320.7163,No_Cheating
34,220,216.2132,No_Cheating
83,388,212.6096,No_Cheating
70,106,248.6452,No_Cheating
8154,1,1153.159,Both_Cheating
0,0,737.1727,Both_Cheating
731,525,1257.665,Both_Cheating
1509,582,187.0561,Both_Cheating
30,232,144.1449,Client_Cheating
361,254,446.0793,Client_Cheating
136,42,454.0565,Client_Cheating
0,0,212.6138,Client_Cheating
112,410,281.0826,Client_Cheating
1069,26,270.2718,Client_Cheating
116,420,169.3703,Client_Cheating
307,197,165.7667,Client_Cheating
265,19,309.9116,No_Cheating
39,40,187.0493,No_Cheating
0,0,266.1895,No_Cheating
72,13,194.5957,No_Cheating
335,55,172.6808,No_Cheating
29,0,162.163,No_Cheating
394,42,299.1007,No_Cheating
571,216,302.7043,No_Cheating
662,0,341.5694,No_Cheating
730,266,341.3889,No_Cheating
