illegal_traces,trigger_speed,flick_speed
981,174,190.9883
2,0,1538.717
79,80,652.2432
0,0,356.7518
141,0,1185.569
73,38,360.3553
44,9,378.3731
123,109,436.03
245,0,291.8878
47,0,270.2665
141,127,353.1483
315,47,317.1127
0,0,93.6924
136,0,317.1127
50,55,432.4265
221,0,378.3731
317,92,299.095
74,0,360.3553
155,0,367.5625
119,61,421.6158
242,685,309.9056
0,0,18.01777
292,5,389.1838
195,146,882.8706
392,62,1437.818
10,42,1686.463
159,180,413.2522
152,93,1131.516
64,57,330.8103
62,0,392.7874
4,77,353.1483
315,57,1358.54
