illegal_traces,trigger_speed,flick_speed
214,35,345.115
85,45,320.7163
404,134,299.0949
94,116,245.0416
226,29,248.6452
38,180,342.3376
48,101,248.6452
256,882,245.0416
45,13,266.663
38,72,230.6274
31,104,234.231
0,5,241.4381
206,585,749.5392
428,46,432.4264
359,335,281.0772
18,37,284.6807
457,330,252.2487
145,495,252.2487
0,208,259.4559
123,565,299.0949
101,217,356.7518
18,546,291.8878
218,67,284.6807
16,116,295.4914
0,66,266.663
35,581,508.101
41,666,169.367
42,127,320.7163
34,220,216.2132
83,388,212.6096
70,106,248.6452
